locID;name;countryEN;countryRU;lat_deg;lat_deg_sign;lat_min;lat_sec;lon_deg;lon_deg_sign;lon_min;lon_sec;property;buffer;siteID;latitude;longitude;countryCode
208-001;Bamiyan Cliff including niches of the 38 meter Buddha, seated Buddhas, 55 meter Buddha and surrounding caves;Afghanistan;Афганистан;N34;34;50;49;E67;67;49;30.9;105 ha;225.25 ha;208;34.8469444;67.82525;afg
208-002;Kakrak Valley caves including the niche of the standing Buddha;Afghanistan;Афганистан;N34;34;48;59.6;E67;67;51;4.9;15 ha;33 ha;208;34.8165556;67.8513611;afg
208-003;Qoul-I Akram Caves in the Fuladi Valley;Afghanistan;Афганистан;N34;34;49;25.3;E67;67;47;53.7;6 ha;40.5 ha;208;34.8236944;67.79825;afg
208-004;Kalai Ghamai Caves in the Fuladi Valley;Afghanistan;Афганистан;N34;34;49;13.6;E67;67;47;14.5;5.5 ha;;208;34.8204444;67.7873611;afg
208-005;Shahr-i-Zuhak;Afghanistan;Афганистан;N34;34;49;34.4;E66;66;53;24.5;18 ha;13 ha;208;34.8262222;66.8901389;afg
208-006;Qallay Kaphari A;Afghanistan;Афганистан;N34;34;48;39.5;E66;66;50;36.7;0.0625 ha;17 ha;208;34.8109722;66.8435278;afg
208-007;Qallay Kaphari B;Afghanistan;Афганистан;N34;34;48;46.4;E66;66;51;0.1;0.064 ha;;208;34.8128889;66.8500278;afg
208-008;Shahr-i-Ghulghulah;Afghanistan;Афганистан;N34;34;49;57.6;E67;67;50;20.8;9.3 ha;13.2 ha;208;34.8326667;67.8391111;afg
569-001;Museum-City of Gjirokastra;Albania;Албания;N40;40;4;27;E20;20;8;27;67.8 ha;94.7 ha;569;40.0741667;20.1408333;alb
569bis-002;The Historic Center of Berat;Albania;Албания;N40;40;42;8;E19;19;56;49;58.9 ha;136.2 ha;569;40.7022222;19.9469444;alb
1133-001;Chornohora;Ukraine;Украина;N48;48;8;25;E24;24;23;35;2,476.8 ha;12,925 ha;1133;48.1402778;24.3930556;ukr
1133-002;Havešová Primeval Forest;Slovakia;Словакия;N49;49;0;35;E22;22;20;20;171.3 ha;63.99 ha;1133;49.0097222;22.3388889;svk
1133-003;Kuziy-Trybushany;Ukraine;Украина;N47;47;56;21;E24;24;8;26;1,369.6 ha;3,163.4 ha;1133;47.9391667;24.1405556;ukr
1133-004;Maramarosh;Ukraine;Украина;N47;47;56;12;E24;24;19;35;2,243.6 ha;6,230.4 ha;1133;47.9366667;24.3263889;ukr
1133-005;Rožok;Slovakia;Словакия;N48;48;58;30;E22;22;28;0;67.1 ha;41.4 ha;1133;48.975;22.4666667;svk
1133-006;Stužnica – Bukovské Vrchy;Slovakia;Словакия;N49;49;5;10;E22;22;32;10;2,950 ha;11,300 ha;1133;49.0861111;22.5361111;svk
1133-007;Stuzhytsia – Uzhok;Ukraine;Украина;N49;49;4;14;E22;22;3;1;2,532 ha;3,615 ha;1133;49.0705556;22.0502778;ukr
1133-008;Svydovets;Ukraine;Украина;N48;48;11;21;E24;24;13;37;3,030.5 ha;5,639.5 ha;1133;48.1891667;24.2269444;ukr
1133-009;Uholka – Shyrikyi Luh;Ukraine;Украина;N48;48;18;22;E23;23;41;46;11,860 ha;3,301 ha;1133;48.3061111;23.6961111;ukr
1133-010;Vihorlat;Slovakia;Словакия;N48;48;55;45;E22;22;11;23;2,578 ha;2,413 ha;1133;48.9291667;22.1897222;svk
1133bis-011;Jasmund;Germany;Германия;N54;54;32;53;E13;13;38;43;492.5 ha;2,510.5 ha;1133;54.5480556;13.6452778;deu
1133bis-012;Serrahn;Germany;Германия;N53;53;20;24;E13;13;11;52;268.1 ha;2,568 ha;1133;53.34;13.1977778;deu
1133bis-013;Grumsin;Germany;Германия;N52;52;59;11;E13;13;53;44;590.1 ha;274.3 ha;1133;52.9863889;13.8955556;deu
1133bis-014;Hainich;Germany;Германия;N51;51;4;43;E10;10;26;8;1,573.4 ha;4,085.4 ha;1133;51.0786111;10.4355556;deu
1133bis-015;Kellerwald;Germany;Германия;N51;51;8;43;E8;8;58;25;1,467.1 ha;4,271.4 ha;1133;51.1452778;8.9736111;deu
1133ter-016;Lumi i gashit;Albania;Албания;N42;42;28;53;E20;20;3;26;1,261.52 ha;8,977.48 ha;1133;42.4813889;20.0572222;alb
1133ter-017;Rrajca;Albania;Албания;N41;41;12;11;E20;20;30;2;2,129.45 ha;2,569.75 ha;1133;41.2030556;20.5005556;alb
1133ter-018;Dürrenstei;Austria;Австрия;N47;47;46;12;E15;15;2;51;1,867.45 ha;1,545.05 ha;1133;47.77;15.0475;aut
1133ter-019;Kalkalpen - Hintergebirg;Austria;Австрия;N47;47;44;58;E14;14;28;56;2,946.2 ha;14,197.24 ha;1133;47.7494444;14.4822222;aut
1133ter-020;Kalkalpen - Bodinggraben;Austria;Австрия;N47;47;47;14;E14;14;21;12;890.89 ha;;1133;47.7872222;14.3533333;aut
1133ter-021;Kalkalpen - Urlach;Austria;Австрия;N47;47;48;15;E14;14;14;22;264.82 ha;;1133;47.8041667;14.2394444;aut
1133ter-022;Kalkalpen – Wilder Graben;Austria;Австрия;N47;47;49;60;E14;14;26;1;1,149.75 ha;;1133;47.8333333;14.4336111;aut
1133ter-023;Sonian Forest – Forest Reserve “Joseph Zwaenepoel”;Belgium;Бельгия;N50;50;45;23;E4;4;24;60;187.34 ha;4,650.86 ha;1133;50.7563889;4.4166667;bel
1133ter-024;Sonian Forest – Grippensdelle A;Belgium;Бельгия;N50;50;46;54;E4;4;25;36;24.11 ha;;1133;50.7816667;4.4266667;bel
1133ter-025;Sonian Forest - Grippensdelle B;Belgium;Бельгия;N50;50;47;1;E4;4;25;57;37.38 ha;;1133;50.7836111;4.4325;bel
1133ter-026;Sonian Forest – Réserve forestière du Ticton A;Belgium;Бельгия;N50;50;44;3;E4;4;26;13;13.98 ha;;1133;50.7341667;4.4369444;bel
1133ter-027;Sonian Forest – Réserve forestière du Ticton B;Belgium;Бельгия;N50;50;43;37;E4;4;25;51;6.5 ha;;1133;50.7269444;4.4308333;bel
1133ter-028;Central Balkan – Boatin Reserve;Bulgaria;Болгария;N42;42;48;10;E24;24;16;9;1,226.88 ha;851.22 ha;1133;42.8027778;24.2691667;bgr
1133ter-029;Central Balkan - Tsarichina Reserve;Bulgaria;Болгария;N42;42;46;32;E24;24;24;18;1,485.81 ha;1,945.99 ha;1133;42.7755556;24.405;bgr
1133ter-030;Central Balkan – Kozya stena Reserve;Bulgaria;Болгария;N42;42;47;47;E24;24;31;29;644.43 ha;289.82 ha;1133;42.7963889;24.5247222;bgr
1133ter-031;Central Balkan – Steneto Reserve;Bulgaria;Болгария;N42;42;44;43;E24;24;42;26;2,466.1 ha;1,762.01 ha;1133;42.7452778;24.7072222;bgr
1133ter-032;Central Balkan – Stara reka Reserve;Bulgaria;Болгария;N42;42;42;11;E24;24;49;8;591.2 ha;1,480.04 ha;1133;42.7030556;24.8188889;bgr
1133ter-033;Central Balkan - Dzhendema Reserve;Bulgaria;Болгария;N42;42;41;44;E24;24;58;23;1,774.12 ha;2,576.63 ha;1133;42.6955556;24.9730556;bgr
1133ter-034;Central Balkan – Severen Dzhendem Reserve;Bulgaria;Болгария;N42;42;44;44;E24;24;56;5;926.37 ha;1,066.47 ha;1133;42.7455556;24.9347222;bgr
1133ter-035;Central Balkan – Peeshti skali Reserve;Bulgaria;Болгария;N42;42;45;54;E25;25;4;29;1,049.1 ha;968.14 ha;1133;42.765;25.0747222;bgr
1133ter-036;Central Balkan – Sokolna Reserve;Bulgaria;Болгария;N42;42;41;52;E25;25;8;18;824.9 ha;780.55 ha;1133;42.6977778;25.1383333;bgr
1133ter-037;Hajdučki i Rožanski kukovi;Croatia;Хорватия;N44;44;45;59;E15;15;0;39;1,289.11 ha;9,869.25 ha;1133;44.7663889;15.0108333;hrv
1133ter-038;Paklenica National Park - Suva draga-Klimenta;Croatia;Хорватия;N44;44;20;26;E15;15;30;1;1,241.04 ha;414.76 ha;1133;44.3405556;15.5002778;hrv
1133ter-039;Paklenica National Park - Oglavinovac-Javornik;Croatia;Хорватия;N44;44;23;4;E15;15;26;59;790.74 ha;395.35 ha;1133;44.3844444;15.4497222;hrv
1133ter-040;Abruzzo, Lazio & Molise - Valle Cervara;Italy;Италия;N41;41;49;56;E13;13;43;43;119.7 ha;751.61 ha;1133;41.8322222;13.7286111;ita
1133ter-041;Abruzzo, Lazio & Molise - Selva Moricento;Italy;Италия;N41;41;50;49;E13;13;42;20;192.7 ha;;1133;41.8469444;13.7055556;ita
1133ter-042;Abruzzo, Lazio & Molise - Coppo del Morto;Italy;Италия;N41;41;51;37;E13;13;50;48;104.71 ha;415.51 ha;1133;41.8602778;13.8466667;ita
1133ter-043;Abruzzo, Lazio & Molise - Coppo del Principe;Italy;Италия;N41;41;47;15;E13;13;44;39;194.49 ha;446.62 ha;1133;41.7875;13.7441667;ita
1133ter-044;Abruzzo, Lazio & Molise - Val Fondillo;Italy;Италия;N41;41;45;15;E13;13;53;9;325.03 ha;700.95 ha;1133;41.7541667;13.8858333;ita
1133ter-045;Cozzo Ferriero;Italy;Италия;N39;39;54;21;E16;16;6;4;95.74 ha;482.61 ha;1133;39.9058333;16.1011111;ita
1133ter-046;Foresta Umbra;Italy;Италия;N41;41;48;27;E15;15;58;40;182.23 ha;1,752.54 ha;1133;41.8075;15.9777778;ita
1133ter-047;Monte Cimino;Italy;Италия;N42;42;24;31;E12;12;12;11;57.54 ha;87.96 ha;1133;42.4086111;12.2030556;ita
1133ter-048;Monte Raschio;Italy;Италия;N42;42;10;25;E12;12;9;40;73.73 ha;54.75 ha;1133;42.1736111;12.1611111;ita
1133ter-049;Sasso Fratino;Italy;Италия;N43;43;50;40;E11;11;48;11;781.43 ha;6,936.64 ha;1133;43.8444444;11.8030556;ita
1133ter-050;Cheile Nerei-Beușnița;Romania;Румыния;N44;44;54;19;E21;21;48;40;4,292.27 ha;5,959.87 ha;1133;44.9052778;21.8111111;rou
1133ter-051;Codrul secular Șinca;Romania;Румыния;N45;45;40;0;E25;25;10;14;338.24 ha;445.76 ha;1133;45.6666667;25.1705556;rou
1133ter-052;Codrul Secular Slătioara;Romania;Румыния;N47;47;26;36;E25;25;37;39;609.12 ha;429.43 ha;1133;47.4433333;25.6275;rou
1133ter-053;Cozia - Masivul Cozia;Romania;Румыния;N45;45;19;54;E24;24;19;32;2,285.86 ha;2,408.83 ha;1133;45.3316667;24.3255556;rou
1133ter-054;Cozia – Lotrisor;Romania;Румыния;N45;45;17;43;E24;24;15;33;1,103.3 ha;;1133;45.2952778;24.2591667;rou
1133ter-055;Domogled - Valea Cernei - Domogled-Coronini- Bedina;Romania;Румыния;N44;44;56;31;E22;22;28;7;5,110.63 ha;51,461.28 ha;1133;44.9419444;22.4686111;rou
1133ter-056;Domogled – Valea Cernei- Iauna Craiovei;Romania;Румыния;N45;45;6;31;E22;22;34;41;3,517.36 ha;;1133;45.1086111;22.5780556;rou
1133ter-057;Domogled - Valea Cernei- Ciucevele Cernei;Romania;Румыния;N45;45;14;40;E22;22;49;23;1,104.27 ha;;1133;45.2444444;22.8230556;rou
1133ter-058;Groșii Țibleșului – Izvorul Șurii;Romania;Румыния;N47;47;32;59;E24;24;11;9;210.55 ha;563.57 ha;1133;47.5497222;24.1858333;rou
1133ter-059;Groșii Țibleșului - Preluci;Romania;Румыния;N47;47;32;5;E24;24;13;13;135.82 ha;;1133;47.5347222;24.2202778;rou
1133ter-060;Izvoarele Nerei;Romania;Румыния;N45;45;7;21;E22;22;3;59;4,677.21 ha;2,494.83 ha;1133;45.1225;22.0663889;rou
1133ter-061;Strimbu Băiuț;Romania;Румыния;N47;47;37;33;E24;24;4;23;598.14 ha;713.09 ha;1133;47.6258333;24.0730556;rou
1133ter-062;Krokar;Slovenia;Словения;N45;45;32;31;E14;14;46;8;74.5 ha;47.9 ha;1133;45.5419444;14.7688889;svn
1133ter-063;Snežnik-Ždrocle;Slovenia;Словения;N45;45;35;5;E14;14;27;19;720.24 ha;128.8 ha;1133;45.5847222;14.4552778;svn
1133ter-064;Hayedos de Ayllon - Tejera Negra;Spain;Испания;N41;41;14;3;W3;-3;23;19;255.52 ha;13,880.86 ha;1133;41.2341667;-2.6113889;esp
1133ter-065;Hayedos de Ayllon - Montejo;Spain;Испания;N41;41;6;44;W3;-3;29;58;71.79 ha;;1133;41.1122222;-2.5005556;esp
1133ter-066;Hayedos de Navarra – Lizardoia;Spain;Испания;N43;43;0;23;W1;-1;6;46;63.97 ha;24,494.52 ha;1133;43.0063889;-0.8872222;esp
1133ter-067;Hayedos de Navarra - Aztaparreta;Spain;Испания;N42;42;54;39;W0;0;48;58;171.06 ha;;1133;42.9108333;0.8161111;esp
1133ter-068;Hayedos de Picos de Europa - Cuesta Fria;Spain;Испания;N43;43;10;21;W4;-4;59;16;213.65 ha;14,253 ha;1133;43.1725;-3.0122222;esp
1133ter-069;Hayedos de Picos de Europa - Canal de Asotin;Spain;Испания;N43;43;10;16;W4;-4;53;21;109.58 ha;;1133;43.1711111;-3.1108333;esp
1133ter-070;Gorgany;Ukraine;Украина;N48;48;28;19;E24;24;17;58;753.48 ha;4,637.59 ha;1133;48.4719444;24.2994444;ukr
1133ter-071;Roztochya;Ukraine;Украина;N49;49;57;44;E23;23;38;58;384.81 ha;598.21 ha;1133;49.9622222;23.6494444;ukr
1133ter-072;Satanіvska Dacha;Ukraine;Украина;N49;49;10;26;E26;26;14;56;212.01 ha;559.37 ha;1133;49.1738889;26.2488889;ukr
1133ter-073;Synevyr – Darvaika;Ukraine;Украина;N48;48;29;14;E23;23;44;56;1,588.46 ha;312.32 ha;1133;48.4872222;23.7488889;ukr
1133ter-074;Synevyr – Kvasovets;Ukraine;Украина;N48;48;23;6;E23;23;42;46;561.62 ha;333.63 ha;1133;48.385;23.7127778;ukr
1133ter-075;Synevyr – Strymba;Ukraine;Украина;N48;48;27;11;E23;23;47;48;260.65 ha;191.14 ha;1133;48.4530556;23.7966667;ukr
1133ter-076;Synevyr – Vilshany;Ukraine;Украина;N48;48;21;20;E23;23;39;36;454.31 ha;253.85 ha;1133;48.3555556;23.66;ukr
1133ter-077;Zacharovanyi Krai - Irshavka;Ukraine;Украина;N48;48;27;9;E23;23;5;23;93.97 ha;1,275.44 ha;1133;48.4525;23.0897222;ukr
1133ter-078;Zacharovanyi Krai - Velykyi Dil;Ukraine;Украина;N48;48;25;21;E23;23;9;42;1,164.16 ha;;1133;48.4225;23.1616667;ukr
188-001;Ksar El Atteuf;Algeria;Алжир;N32;32;28;31.62;E3;3;44;41.81;7.72 ha;—;188;32.47545;3.7449472;dza
188-002;Ksar Bounoura;Algeria;Алжир;N32;32;28;57.61;E3;3;42;13.89;4.79 ha;—;188;32.4826694;3.7038583;dza
188-003;Ksar Melika;Algeria;Алжир;N32;32;28;59.26;E3;3;41;12.04;6.64 ha;—;188;32.4831278;3.6866778;dza
188-004;Ksar Beni Isguen;Algeria;Алжир;N32;32;28;26.9;E3;3;41;45.5;14.52 ha;—;188;32.4741389;3.6959722;dza
188-005;Ksar Ghardaïa;Algeria;Алжир;N32;32;29;19.78;E3;3;40;27.22;22.84 ha;—;188;32.4888278;3.6742278;dza
188-011;Agherm Baba Saad;Algeria;Алжир;N32;32;29;13.5;E3;3;39;39.5;1.95 ha;—;188;32.4870833;3.6609722;dza
188-012;Mosque Sidi Brahim;Algeria;Алжир;N32;32;28;25.2;E3;3;44;41.2;0.05 ha;—;188;32.4736667;3.7447778;dza
188-013;Mosque Oukhira;Algeria;Алжир;N32;32;28;18.2;E3;3;45;6;0.09 ha;—;188;32.4717222;3.7516667;dza
188-015;Mosque Bayoub Boukacem;Algeria;Алжир;N32;32;28;48;E3;3;44;47.1;0.009 ha;—;188;32.48;3.7464167;dza
188-016;Prayer Hall Abou Baker;Algeria;Алжир;N32;32;28;48.8;E3;3;41;14.9;0.04 ha;—;188;32.4802222;3.6874722;dza
188-017;Mosque Aguerm Ouadaï;Algeria;Алжир;N32;32;29;5.9;E3;3;41;12.5;0.04 ha;—;188;32.4849722;3.6868056;dza
188-018;Prayer Hall Sidi Aïssa;Algeria;Алжир;N32;32;29;32.4;E3;3;41;14.6;0.1 ha;—;188;32.4923333;3.6873889;dza
188-019;Mosque Hadj Mhamed;Algeria;Алжир;N32;32;29;26;E3;3;41;10.2;0.003 ha;—;188;32.4905556;3.6861667;dza
188-020;Mosque Hadj Messaoud;Algeria;Алжир;N32;32;28;55.3;E3;3;41;39.5;0.002 ha;—;188;32.4820278;3.6943056;dza
188-021;Mosque Ba Abderrahmane;Algeria;Алжир;N32;32;28;20.3;E3;3;41;58.7;0.03 ha;—;188;32.4723056;3.6996389;dza
188-022;Mosque Ba Mhamed;Algeria;Алжир;N32;32;28;21.1;E3;3;41;25.6;0.05 ha;—;188;32.4725278;3.6904444;dza
188-023;Prayer Hall Cheikh Baelhadj;Algeria;Алжир;N32;32;28;24.4;E3;3;41;33.9;0.07 ha;—;188;32.4734444;3.69275;dza
188-025;Tomb Ami Said;Algeria;Алжир;N32;32;29;44.4;E3;3;40;7.7;0.001 ha;—;188;32.4956667;3.6688056;dza
188-026;Mosque Baba Oualdjemma;Algeria;Алжир;N32;32;29;21.2;E3;3;39;37.6;0.008 ha;—;188;32.4892222;3.6604444;dza
193-001;Tipasa: Parc archaéologique ouest;Algeria;Алжир;N36;36;35;38.3;E2;2;26;36.2;27.75 ha;—;193;36.5939722;2.4433889;dza
193-002;Tipasa: Parc archaéologique est;Algeria;Алжир;N36;36;35;34.3;E2;2;27;16.6;16.58 ha;—;193;36.5928611;2.4546111;dza
193-003;Mausoleum Kbor er Roumia;Algeria;Алжир;N36;36;34;29.4;E2;2;33;11.4;7.83 ha;—;193;36.5748333;2.5531667;dza
291-001;São Miguel das Missões;Brazil;Бразилия;S28;-28;32;36;W54;-54;15;57;;—;291;-27.4566667;-53.7341667;bra
291-002;San Ignacio Mini;Argentina;Аргентина;S27;-27;15;0;W55;-55;31;0;;—;291;-26.75;-54.4833333;arg
291-003;Nuestra Señora de Santa Ana;Argentina;Аргентина;S27;-27;22;60;W55;-55;33;58;;—;291;-26.6166667;-54.4338889;arg
291-004;Nuestra Señora de Loreto;Argentina;Аргентина;S27;-27;30;0;W55;-55;31;60;;—;291;-26.5;-54.4666667;arg
291-005;Santa María la Mayor;Argentina;Аргентина;S27;-27;33;0;W55;-55;19;60;;—;291;-26.45;-54.6666667;arg
995-001;Jesuit Block;Argentina;Аргентина;S31;-31;25;14;W64;-64;11;28;0.97 ha;—;995;-30.5794444;-63.8088889;arg
995-002;Estancia of Alta Gracia;Argentina;Аргентина;S31;-31;39;27;W64;-64;26;5;0.85 ha;—;995;-30.3425;-63.5652778;arg
995-003;Estancia of Jesús María;Argentina;Аргентина;S30;-30;58;13.278;W64;-64;5;50.172;9.3 ha;—;995;-29.029645;-63.90273;arg
995-004;Estancia of Santa Catalina;Argentina;Аргентина;S30;-30;52;11.852;W64;-64;14;1.972;15 ha;—;995;-29.1300411;-63.7661189;arg
995-005;Estancia of Caroya;Argentina;Аргентина;S30;-30;59;16.548;W64;-64;6;22.277;7 ha;—;995;-29.01207;-63.8938119;arg
995-006;Estancia of La Candelaría;Argentina;Аргентина;S31;-31;5;53.711;W64;-64;51;17.964;5 ha;—;995;-30.9017469;-63.14501;arg
1459-001;AR-QGE-01/C-2011;Argentina;Аргентина;S23;-23;22;0;W64;-64;58;0;18.179 ha;0.494 ha;1459;-22.6333333;-63.0333333;arg
1459-002;AR-SRT-02/CS-2011;Argentina;Аргентина;S24;-24;27;10;W65;-65;57;40;423.73 ha;15.18 ha;1459;-23.5472222;-64.0388889;arg
1459-003;AR-ACHC-03/CS-2011;Argentina;Аргентина;S24;-24;35;35;W66;-66;2;7;165.04 ha;16.25 ha;1459;-23.4069444;-65.9647222;arg
1459-004;AR-PPG-05/CS-2011;Argentina;Аргентина;S24;-24;49;60;W66;-66;9;0;51.61 ha;3.51 ha;1459;-23.1666667;-65.85;arg
1459-005;AR-LLU-07/CS-2011;Argentina;Аргентина;S24;-24;42;60;W68;-68;31;30;14,787.839 ha;266.1 ha;1459;-23.2833333;-67.475;arg
1459-006;AR-CAC-08/CS-2011;Argentina;Аргентина;S27;-27;10;48;W66;-66;0;27;27.389 ha;6.19 ha;1459;-26.82;-65.9925;arg
1459-007;AR-PA-09/CS-2011;Argentina;Аргентина;S27;-27;42;30;W66;-66;0;0;379.48 ha;40.75 ha;1459;-26.2916667;-66;arg
1459-008;AR-LCLP-10/CS-2011;Argentina;Аргентина;S28;-28;52;30;W67;-67;56;30;6,477.28 ha;225.3 ha;1459;-27.125;-66.0583333;arg
1459-009;AR-ANC-13/CS-2011;Argentina;Аргентина;S30;-30;3;0;W69;-69;10;30;374.08 ha;15.63 ha;1459;-29.95;-68.825;arg
1459-010;AR-LLL-16/CS-2011;Argentina;Аргентина;S29;-29;5;30;W69;-69;20;30;106.91 ha;9.74 ha;1459;-28.9083333;-68.6583333;arg
1459-011;AR-CYSA-17/CS-2011;Argentina;Аргентина;S32;-32;6;0;W69;-69;21;60;1,216.969 ha;24.03 ha;1459;-31.9;-68.6333333;arg
1459-012;AR-RAN-18/CS-2011;Argentina;Аргентина;S32;-32;36;20;W69;-69;28;10;43.768 ha;7.7 ha;1459;-31.3944444;-68.5305556;arg
1459-013;AR-PIN-20/CS-2011;Argentina;Аргентина;S32;-32;49;35;W69;-69;54;40;32.49 ha;2.51 ha;1459;-31.1736111;-68.0888889;arg
1459-014;BO-DV-01/CS-2011;Bolivia (Plurinational State of);Боливия (Многонациональное Государство);S16;-16;33;0;W69;-69;1;0;132.207 ha;9,950.171 ha;1459;-15.45;-68.9833333;bol
1459-015;BO-DV-02/CS-2011;Bolivia (Plurinational State of);Боливия (Многонациональное Государство);S16;-16;33;35;W68;-68;40;58;523.036 ha;52,147.175 ha;1459;-15.4402778;-67.3172222;bol
1459-016;BO-DV-03/CS-2011;Bolivia (Plurinational State of);Боливия (Многонациональное Государство);S16;-16;38;2;W68;-68;32;51;134.558 ha;6,752.186 ha;1459;-15.3661111;-67.4525;bol
1459-017;CH-PS-01/C-2009;Chile;Чили;S18;-18;15;0;W69;-69;34;60;0.9751 ha;19 ha;1459;-17.75;-68.4166667;chl
1459-018;CH-SS-02/CS-2009;Chile;Чили;S18;-18;17;24.28;W69;-69;35;42.71;1.1876 ha;18 ha;1459;-17.7099222;-68.4048028;chl
1459-019;CH-SS-03/CS-2009;Chile;Чили;S18;-18;19;26.18;W69;-69;35;33.22;9.9544 ha;70 ha;1459;-17.6760611;-68.4074389;chl
1459-020;CH-SS-04/S-2009;Chile;Чили;S18;-18;21;25.01;W69;-69;37;13.62;14.8162 ha;84 ha;1459;-17.6430528;-68.37955;chl
1459-021;CH-IN-05/CS-2009;Chile;Чили;S22;-22;6;8.16;W68;-68;37;40.06;2.3423 ha;763 ha;1459;-21.8977333;-67.3722056;chl
1459-022;CH-IN-06/CS-2009;Chile;Чили;S22;-22;8;39.21;W68;-68;37;50.1;0.1819 ha;1,107 ha;1459;-21.855775;-67.3694167;chl
1459-023;CH-LN-07/CS-2009;Chile;Чили;S22;-22;11;1.64;W68;-68;37;47.91;0.374 ha;1,175 ha;1459;-21.8162111;-67.370025;chl
1459-024;CH-LN-08/CS-2009;Chile;Чили;S22;-22;12;45.17;W68;-68;37;45.88;0.046 ha;1,243 ha;1459;-21.7874528;-67.3705889;chl
1459-025;CH-LN-09/CS-2009;Chile;Чили;S22;-22;15;13.5;W68;-68;37;56.18;0.4379 ha;943 ha;1459;-21.74625;-67.3677278;chl
1459-026;CH-CT-10/CS-2010;Chile;Чили;S22;-22;9;4.37;W68;-68;18;10.82;9.7067 ha;93 ha;1459;-21.8487861;-67.6969944;chl
1459-027;CH-TN-11/CS-2009;Chile;Чили;S22;-22;13;22.83;W68;-68;16;53.6;30.1994 ha;90 ha;1459;-21.7769917;-67.7184444;chl
1459-028;CH-CN-12/CS-2009;Chile;Чили;S22;-22;50;12.32;W68;-68;13;30;15.0803 ha;17 ha;1459;-21.1632444;-67.775;chl
1459-029;CH-CS-13/CS-2010;Chile;Чили;S23;-23;25;0;W67;-67;59;24.56;2.3956 ha;34 ha;1459;-22.5833333;-66.0098444;chl
1459-030;CH-CS-14/C-2010;Chile;Чили;S23;-23;26;20.86;W67;-67;59;36.49;1.2319 ha;24 ha;1459;-22.5608722;-66.0065306;chl
1459-031;CH-CS-15/CS-2010;Chile;Чили;S23;-23;28;22.96;W68;-68;0;5.43;0.9723 ha;54 ha;1459;-22.5269556;-67.9984917;chl
1459-032;CH-CS-16/CS-2010;Chile;Чили;S23;-23;32;49.42;W68;-68;1;20.46;1.4628 ha;17 ha;1459;-22.4529389;-67.97765;chl
1459-033;CH-PN-17/CS-2010;Chile;Чили;S23;-23;35;31.73;W68;-68;2;14.35;1.0073 ha;46 ha;1459;-22.4078528;-67.9626806;chl
1459-034;CH-PN-18/CS-2010;Chile;Чили;S23;-23;38;51.25;W68;-68;3;25.96;1.6825 ha;34 ha;1459;-22.3524306;-67.9427889;chl
1459-035;CH-PR-19/C-2010;Chile;Чили;S26;-26;18;42.54;W69;-69;35;51.91;0.2301 ha;15 ha;1459;-25.6881833;-68.4022472;chl
1459-036;CH-PR-20/CS-2010;Chile;Чили;S26;-26;20;6.44;W69;-69;36;13.51;0.1858 ha;14 ha;1459;-25.6648778;-68.3962472;chl
1459-037;CH-PR-21/C-2010;Chile;Чили;S26;-26;21;26.33;W69;-69;36;11.43;0.205 ha;16 ha;1459;-25.6426861;-68.396825;chl
1459-038;CH-PR-22/C-2010;Chile;Чили;S26;-26;22;34.17;W69;-69;36;13.76;0.202 ha;15 ha;1459;-25.6238417;-68.3961778;chl
1459-039;CH-PR-23/CS-2010;Chile;Чили;S26;-26;22;37.99;W69;-69;37;26.37;0.5614 ha;17 ha;1459;-25.6227806;-68.3760083;chl
1459-040;CH-RP-24/CS-2010;Chile;Чили;S26;-26;23;15.98;W69;-69;38;47.65;0.3332 ha;7 ha;1459;-25.6122278;-68.3534306;chl
1459-041;CH-RP-25/C-2010;Chile;Чили;S26;-26;24;5.51;W69;-69;39;35.97;0.3344 ha;16 ha;1459;-25.5984694;-68.3400083;chl
1459-042;CH-RP-26/S-2010;Chile;Чили;S26;-26;25;39.89;W69;-69;40;59.55;0.1336 ha;11 ha;1459;-25.5722528;-68.3167917;chl
1459-043;CH-RP-27/S-2010;Chile;Чили;S26;-26;26;52.7;W69;-69;41;58.29;0.0555 ha;13 ha;1459;-25.5520278;-68.300475;chl
1459-044;CH-RP-28/CS-2010;Chile;Чили;S26;-26;28;35.7;W69;-69;43;25;0.7402 ha;18 ha;1459;-25.5234167;-68.2763889;chl
1459-045;CH-RP-29/CS-2010;Chile;Чили;S26;-26;30;5.4;W69;-69;44;39.81;1.6636 ha;36 ha;1459;-25.4985;-68.2556083;chl
1459-046;CH-RP-30/CS-2010;Chile;Чили;S26;-26;31;36.71;W69;-69;45;56.11;0.8763 ha;18 ha;1459;-25.4731361;-68.2344139;chl
1459-047;CH-RP-31/CS-2010;Chile;Чили;S26;-26;33;12.33;W69;-69;47;16.13;0.8675 ha;20 ha;1459;-25.446575;-68.2121861;chl
1459-048;CH-RP-32/CS-2010;Chile;Чили;S26;-26;34;51.57;W69;-69;48;35.51;0.5154 ha;20 ha;1459;-25.4190083;-68.1901361;chl
1459-049;CH-PF-33/CS-2010;Chile;Чили;S26;-26;36;28.67;W69;-69;50;0.26;0.206 ha;21 ha;1459;-25.3920361;-68.1665944;chl
1459-050;CH-PF-34/CS-2010;Chile;Чили;S26;-26;38;2.69;W69;-69;51;1.12;35.7465 ha;91 ha;1459;-25.3659194;-68.1496889;chl
